No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
437,Indopoly Swakarsa Industry Tbk,IPOL,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",45.72,0.27,0.58,0.28,1.10,798979059116,2985205959840,-0.79,-8.03,-8.03,0.00,0.59,2.44,-2.33
438,Indo Pureco Pratama Tbk,IPPE,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC",,0.22,0.64,0.61,0.05,64400000000,20529660000,0.00,0.00,0.00,0.00,8.97,0.00,0.00
439,MNC Vision Networks Tbk,IPTV,E613,Consumer Cyclicals,Media & Entertainment,Media,Cable & Satellite,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI",-9.22,0.24,-2.56,-2.25,0.14,1730115984481,1232624000000,7.50,2.38,53.57,72.00,-15.23,4.88,95.45
440,Itama Ranoraya Tbk,IRRA,F112,Healthcare,Healthcare Equipment & Providers,Healthcare Equipment & Supplies,Healthcare Supplies & Distributions,"COMPOSITE, DBX, IDXHEALTH, ISSI",9.01,1.26,13.97,2.86,3.89,700800000000,1013609242951,-0.90,4.25,-9.05,6.25,7.67,0.91,8.33
441,PT Aviana Sinar Abadi Tbk,IRSX,I131,Technology,Software & IT Services,Software,Software,"COMPOSITE, DBX, IDXTECHNO, ISSI",-789.31,16.67,-2.11,-2.07,0.02,2701040656372,100428391477,151.82,353.95,2200.00,1669.23,-3.41,60.47,1929.41
442,Isra Presisi Indonesia Tbk.,ISAP,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,ABX,-74.91,0.74,-0.99,-0.95,0.04,124626870654,5957811443,-3.23,-16.67,150.00,200.00,-27.92,0.00,172.73
443,PT Indosat Tbk,ISAT,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, I-GRADE, IDX30, IDX80, IDXG30, IDXINFRA, IDXLQ45LCL, IDXSHAGROW, IDXVESTA28, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, SMinfra18",16.68,2.05,12.30,4.06,2.03,77079438187230,41161575000000,13.33,25.26,15.53,-5.56,11.22,1.71,0.00
444,PT Indo American Seafoods Tbk,ISEA,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC",59.31,0.73,1.23,0.51,1.42,133441283520,362028703233,13.04,15.56,67.74,42.47,0.62,-5.45,46.48
445,Steel Pipe Industry of Indonesia Tbk,ISSP,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",5.71,0.58,10.22,6.46,0.58,3089976575050,4163247000000,11.32,18.00,41.32,66.20,13.00,9.77,73.53
446,PT Indonesian Tobacco Tbk.,ITIC,D311,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco,"COMPOSITE, DBX, IDXNONCYC",19.26,0.91,4.71,3.34,0.41,408272480000,229892734427,-14.29,56.30,69.09,47.62,9.22,-11.85,50.00
447,SUMBER ENERGI ANDALAN Tbk,ITMA,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",77.11,0.44,0.57,0.48,0.20,1583499269695,15619856148,-14.41,8.79,69.71,95.39,131.47,-8.05,81.10
448,Indo Tambangraya Megah Tbk,ITMG,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDX30, IDX80, IDXENERGY, IDXG30, IDXHIDIV20, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, IDXVESTA28, Investor33, ISSI, JII70, KOMPAS100, LQ45, MBX",6.09,0.78,12.85,10.29,0.25,24914846250000,22854953472000,-3.97,-2.58,-4.08,-22.39,17.90,-0.68,-16.91
449,PT Jhonlin Agro Raya Tbk,JARR,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",92.20,16.21,17.58,8.25,1.13,30368888014500,3088698766888,-7.73,92.22,791.75,923.67,10.66,8.81,917.65
450,Jasnita Telekomindo Tbk,JAST,J311,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service,"COMPOSITE, DBX, IDXINFRA, ISSI",-38.27,1.13,-2.94,-1.54,0.91,110422725276,157438974453,4.95,9.28,79.66,100.00,-1.83,2.91,58.21
451,PT Informasi Teknologi Indonesia Tbk.,JATI,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, DBX, IDXTECHNO, ISSI",23.40,2.49,10.64,5.19,1.05,463277855052,452272286863,20.00,9.09,0.00,188.00,4.38,2.86,188.00
452,Jaya Agra Wattie Tbk,JAWA,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",129.10,2.24,1.73,0.62,1.80,3181658561032,1344763837758,15.76,31.72,36.43,76.85,1.83,-1.55,75.23
453,PT Armada Berjaya Trans Tbk.,JAYA,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",36.26,0.70,1.93,0.87,1.22,86237934552,53376856896,-3.64,4.95,13.98,11.58,4.46,-0.93,12.77
454,Jembo Cable Company Tbk,JECC,C131,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment,"COMPOSITE, DBX, IDXINDUST, ISSI",7.13,0.95,13.40,4.77,1.81,873180000000,2992224182000,-16.36,2.68,-26.52,86.99,4.09,0.88,86.99
455,Graha Andrasentra Propertindo Tbk,JGLE,E514,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities,"COMPOSITE, IDXCYCLIC, ISSI",-77.20,0.40,-0.52,-0.37,0.39,451638188100,107333000000,36.36,114.29,200.00,275.00,-5.45,36.36,500.00
456,Jakarta International Hotels & Development Tbk,JIHD,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",12.18,0.27,2.22,1.62,0.37,1350843479560,1187629227000,-0.85,-13.33,-7.87,-69.45,9.34,-0.85,-54.65
457,Jaya Konstruksi Manggala Pratama Tbk,JKON,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, IDXINFRA, IDXMESBUMN, IDXSMC-COM, ISSI, MBX",12.16,0.45,3.71,2.78,0.34,1418841227820,2270704325000,0.00,0.00,11.69,1.18,5.14,-1.15,3.61
458,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,JMAS,G413,Financials,Insurance,Insurance,Life Insurance,"COMPOSITE, DBX, IDXFINANCE, ISSI",31.34,1.19,3.81,1.15,2.64,153000000000,60826123000,28.38,27.52,39.71,25.00,8.03,16.56,29.25
459,Japfa Comfeed Indonesia Tbk,JPFA,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXNONCYC, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, ISSI, JII70, KOMPAS100, LQ45, MBX, MNC36",8.58,1.57,18.25,8.94,1.04,28612843490440,43104381000000,6.15,37.40,62.38,32.14,7.74,-1.52,37.40
460,Jaya Real Property Tbk,JRPT,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXMESBUMN, IDXPROPERT, IDXSMC-COM, ISSI, MBX",10.50,1.23,11.72,8.60,0.36,13104379886500,2265078910000,21.59,32.92,50.70,58.52,55.10,5.42,42.67
461,Sky Energy Indonesia Tbk,JSKY,A211,Energy,Alternative Energy,Alternative Energy Equipment,Alternative Energy Equipment,"COMPOSITE, IDXENERGY",,-7.77,,-50.27,-19.07,105692080000,82280822168,0.00,0.00,0.00,0.00,-150.29,0.00,0.00
462,Jasa Marga (Persero) Tbk,JSMR,J112,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Highways & Railtracks,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX80, IDXBUMN20, IDXESGL, IDXINFRA, IDXLQ45LCL, IDXMESBUMN, IDXSMC-COM, IDXSMC-LIQ, IDXV30, IDXVESTA28, Investor33, ISSI, JII70, KOMPAS100, MBX, SMinfra18, SRI-KEHATI",6.35,0.41,6.50,2.56,1.54,25184813064000,21083342000000,-5.07,-2.60,-12.01,-25.11,18.80,-2.03,-22.71
463,Jakarta Setiabudi Internasional Tbk,JSPT,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",31.70,2.63,8.30,4.01,1.07,8115576000000,1795698624000,-0.60,-15.42,-33.94,-69.54,14.26,-5.19,-62.51
464,Jasuindo Tiga Perkasa Tbk,JTPE,C221,Industrials,Industrial Services,Commercial Services,Commercial Printing,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",10.15,2.09,20.58,12.33,0.67,2754524100000,1261145029755,25.65,50.94,96.72,103.39,21.52,18.81,118.18
465,Kimia Farma Tbk,KAEF,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"COMPOSITE, DBX, IDXHEALTH, IDXSMC-COM",-5.01,0.94,-18.79,-4.03,3.67,3005957739780,7008211313000,-4.39,7.92,-19.85,-14.84,-8.56,0.00,-14.17
466,PT Jantra Grupo Indonesia Tbk,KAQI,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,"COMPOSITE, DBX, IDXCYCLIC, ISSI",17.43,1.24,7.13,6.15,0.16,145306000000,53231698912,2.99,-1.43,38.00,,15.66,-2.82,
467,Meratus Jasa Prima Tbk,KARW,J113,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Marine Ports & Services,"COMPOSITE, IDXINFRA, ISSI",-48.61,-0.43,,-1.94,-1.46,234861080000,66070758468,-17.43,-31.97,-67.11,-92.27,-7.31,2.05,-80.20
468,Darmi Bersaudara Tbk,KAYU,B151,Basic Materials,Basic Materials,Forestry & Paper,Timber,"COMPOSITE, IDXBASIC",,0.15,0.99,0.82,0.22,11970000000,6736381978,0.00,0.00,0.00,0.00,11.98,0.00,0.00
469,Karya Bersama Anugerah Tbk,KBAG,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-14.06,0.87,-6.16,-5.25,0.17,300300109326,10912234730,17.07,14.29,45.45,118.18,-195.78,4.35,128.57
470,KMI Wire & Cable Tbk,KBLI,C131,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",6.10,0.47,7.66,6.92,0.11,1338416525738,2694394595000,-2.94,-10.81,-16.67,-10.81,8.15,-0.60,-11.76
471,Kabelindo Murni Tbk,KBLM,C131,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment,"COMPOSITE, DBX, IDXINDUST, ISSI",8.53,0.28,3.24,2.69,0.21,394240000000,1296459949460,-4.44,-8.99,11.69,14.67,3.56,-2.82,16.22
472,First Media Tbk,KBLV,J311,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service,"COMPOSITE, DBX, IDXINFRA",9.64,0.04,0.38,0.33,0.14,376308267912,1428000000,-17.07,-16.39,218.75,114.74,2734.31,-3.77,126.67
473,Kertas Basuki Rachmat Indonesia Tbk,KBRI,B152,Basic Materials,Basic Materials,Forestry & Paper,Paper,"COMPOSITE, IDXBASIC",,3.20,-25.22,-3.39,6.45,434399786700,382899600,0.00,0.00,0.00,0.00,-8954.33,0.00,0.00
474,Kedawung Setia Industrial Tbk,KDSI,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",22.08,0.96,4.37,2.80,0.56,748440000000,1574622135014,-2.17,-4.26,1.35,6.64,2.15,-2.17,0.00
475,PT Puri Sentul Permai Tbk,KDTN,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",327.63,6.66,2.03,1.70,0.19,445008294088,23765278687,97.55,341.41,352.00,370.83,5.72,58.71,370.83
476,Kencana Energi Lestari Tbk,KEEN,J411,Infrastructures,Utilities,Electric Utilities,Electric Utilities,"COMPOSITE, IDXINFRA, IDXSMC-COM, ISSI, MBX",61.20,1.32,2.15,1.21,0.78,4436238125000,431616578172,-2.82,23.95,27.78,64.29,16.79,-10.78,73.95
477,Mulia Boga Raya Tbk,KEJU,D221,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Dairy Products,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",21.88,4.87,22.27,15.83,0.41,3965624999295,1088770621179,-10.42,5.74,10.26,-66.84,16.65,-7.86,-36.14
478,PT Ketrosden Triasmitra,KETR,,No Sector,No Subsector,,,"COMPOSITE, DBX, IDXINFRA, ISSI",12.51,1.46,11.71,5.98,0.96,1704757702800,607062949244,233.33,150.85,598.11,713.19,22.45,164.29,745.71
479,Keramika Indonesia Assosiasi Tbk,KIAS,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, IDXINDUST, ISSI",-24.69,0.40,-1.63,-1.32,0.23,313511100000,447543000000,0.00,0.00,5.00,0.00,-2.84,0.00,0.00
480,Kedaung Indah Can Tbk,KICI,E213,Consumer Cyclicals,Household Goods,Household Goods,Housewares & Specialties,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-7.14,0.69,-9.72,-4.78,1.03,67344000000,57640773625,-9.30,62.50,108.93,68.35,-16.37,-3.31,82.81
481,Kawasan Industri Jababeka Tbk,KIJA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDX80, IDXESGL, IDXPROPERT, IDXSHAGROW, IDXSMC-COM, ISSI, JII70, KOMPAS100, MBX",24.66,0.48,1.93,1.03,0.87,3748479906420,3674658000000,13.98,6.53,17.78,6.00,4.14,19.10,12.77
482,PT Hoffmen Cleanindo Tbk,KING,C231,Industrials,Industrial Services,Professional Services,Human Resource & Employment Services,ABX,92.69,5.05,5.45,3.92,0.39,541050158688,66924472262,-2.88,2.54,-6.48,36.49,8.72,-3.81,36.49
483,PT Kino Indonesia Tbk,KINO,D421,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",13.08,1.06,8.12,3.07,1.64,1792857232500,3192970777467,3.41,22.42,18.70,13.28,4.29,6.64,13.75
484,Kioson Komersial Indonesia Tbk,KIOS,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, DBX, IDXTECHNO, ISSI",-16.85,0.61,-3.61,-3.25,0.11,82841447920,8121098783,170.89,160.98,328.00,328.00,-60.55,174.36,328.00
485,PT Krida Jaringan Nusantara Tbk.,KJEN,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS",1918.67,1.92,0.10,0.09,0.07,120000000000,2899201694,0.88,33.33,91.60,240.30,2.16,-1.72,10.68
486,PT Kusuma Kemindo Sentosa Tbk,KKES,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, IDXBASIC, ISSI",-7.87,0.79,-10.03,-4.84,1.07,48000000000,144761224169,3.45,-16.67,25.00,3.45,-4.21,-11.76,20.00
487,Resource Alam Indonesia Tbk,KKGI,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",17.99,0.63,3.49,2.95,0.18,1630000000000,1830173291388,0.00,-1.21,-21.26,-41.26,4.95,0.00,-38.49
488,PT Pelayaran Kurnia Lautan Semesta Tbk,KLAS,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",9.80,1.80,18.38,10.50,0.75,473774076750,151121767631,3.82,3.82,0.74,23.64,32.00,2.26,28.30
489,Kalbe Farma Tbk,KLBF,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXHEALTH, IDXLQ45LCL, IDXQ30, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",16.08,2.26,14.09,11.61,0.21,56176069848000,25988296571671,-11.67,-5.42,-26.06,-21.99,13.44,-5.81,-15.30
490,PT Klinko Karya Imaji Tbk,KLIN,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,ABX,-86.43,7.07,-8.18,-6.28,0.30,223587686430,4747658674,7.10,-4.23,13.13,45.97,-54.49,9.70,2.26
491,Kurniamitra Duta Sentosa Tbk,KMDS,D112,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors,"COMPOSITE, DBX, IDXNONCYC, ISSI",9.27,2.26,24.35,19.64,0.24,560000000000,317503551662,0.00,10.32,15.83,14.88,19.03,-1.42,16.81
492,PT Kirana Megatara Tbk.,KMTR,B153,Basic Materials,Basic Materials,Forestry & Paper,Diversified Forest,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM",8.24,0.99,12.04,5.53,1.18,2267441120604,10142769820586,0.00,-4.14,-4.14,-20.11,2.71,-2.11,-10.90
493,Kobexindo Tractors Tbk,KOBX,C141,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles,"COMPOSITE, DBX, IDXINDUST",-2.27,0.80,-35.30,-5.40,5.54,404505000000,1221092032318,14.92,47.52,36.84,18.18,-14.58,18.18,26.06
494,PT Kokoh Exa Nusantara,KOCI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",23.68,3.06,12.94,11.71,0.10,397404166590,48102720719,8.43,47.54,73.08,80.00,34.89,1.12,80.00
495,Kokoh Inti Arebama Tbk,KOIN,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, IDXINDUST, ISSI",-4.38,-0.72,,-1.83,-9.92,69639904972,2281711000000,24.66,24.66,40.00,30.00,-0.70,24.66,30.00
496,PT Koka Indonesia Tbk.,KOKA,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, ISSI",-62.45,4.45,-7.12,-5.94,0.20,721055916000,9578902399,-29.80,125.53,194.44,236.51,-120.53,-6.19,226.15
497,Perdana Bangun Pusaka Tbk,KONI,C223,Industrials,Industrial Services,Commercial Services,Office Supplies,"COMPOSITE, DBX, IDXINDUST, ISSI",40.52,4.17,10.29,9.33,0.10,686400000000,203342805021,-19.80,35.84,68.46,45.06,8.33,3.98,59.86
498,Mitra Energi Persada Tbk,KOPI,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, DBX, IDXENERGY, ISSI",-10.19,2.91,-28.57,-7.24,2.94,209180000400,184767435718,-3.82,-8.48,-64.47,-50.08,-11.11,-2.58,-47.48
499,DMS Propertindo Tbk,KOTA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXCYCLIC, ISSI",-16.46,0.32,-1.96,-1.40,0.40,379662685236,28798392849,26.47,30.30,168.75,330.00,-80.07,10.26,377.78
500,MNC Land Tbk,KPIG,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, IDX80, IDXCYCLIC, IDXSHAGROW, IDXSMC-COM, ISSI, JII70, KOMPAS100, MBX",18.35,0.46,2.52,2.01,0.26,13170212450505,2085364408884,-9.46,-31.98,-14.10,-11.26,34.42,1.52,-9.46
501,Krakatau Steel (Persero) Tbk,KRAS,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM",11.06,0.91,8.24,1.43,4.75,7467709203400,11785937436000,-3.11,23.03,104.37,214.29,5.73,-3.11,252.83
502,Kresna Graha Investama Tbk,KREN,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, IDXTECHNO, ISSI",-2.03,0.15,-7.27,-5.04,0.44,273127051500,3458121005863,25.00,11.11,122.22,300.00,-3.89,25.00,185.71
503,PT Bangun Karya Perkasa Jaya Tbk,KRYA,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, ISSI",-4.27,9.47,-221.83,-55.07,3.03,311157429638,81794400347,-3.24,-27.82,77.23,237.74,-89.10,-11.39,231.48
504,PT Kentanix Supra International Tbk,KSIX,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",52.25,0.69,1.32,1.31,0.01,923543337600,84169724000,5.98,65.25,93.07,,21.00,0.00,
505,Ace Oldfields Tbk,KUAS,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, DBX, IDXINDUST, ISSI",8.30,0.58,6.99,4.04,0.73,95667803100,126658242253,13.43,7.04,49.02,49.02,9.10,2.70,43.40
506,PT Green Power Group Tbk,LABA,C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,"COMPOSITE, DBX, IDXINDUST, ISSI",830.74,1.64,0.20,0.15,0.34,193095446775,31301224311,-32.88,-58.38,4.93,-56.18,0.74,-19.46,-50.66
507,PT UBC Medical Indonesia Tbk,LABS,F112,Healthcare,Healthcare Equipment & Providers,Healthcare Equipment & Supplies,Healthcare Supplies & Distributions,"COMPOSITE, DBX, IDXHEALTH, ISSI",61.57,3.80,6.17,4.28,0.44,572750000000,135436065715,-0.71,-1.41,2.94,2.19,6.87,0.00,3.70
508,PT Jasa Berdikari Logistics Tbk,LAJU,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",-81.32,1.11,-1.37,-0.74,0.86,144046179258,157461117613,7.04,1.33,52.00,52.00,-1.12,15.15,52.00
509,Trimitra Propertindo Tbk,LAND,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",288.51,0.21,0.07,0.04,0.67,94949080000,35800935387,13.89,0.00,105.00,105.00,0.92,13.89,127.78
510,Leyand International Tbk,LAPD,J411,Infrastructures,Utilities,Electric Utilities,Electric Utilities,"COMPOSITE, DBX, IDXNONCYC",-70.51,30.88,-43.80,-6.52,5.72,825000828912,211386248741,-13.68,16.31,485.71,925.00,-5.54,-8.89,763.16
511,Eureka Prima Jakarta Tbk,LCGP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,0.40,0.02,0.02,0.03,641820104196,1636363638,0.00,0.00,0.00,0.00,19.53,0.00,0.00
512,PT LCK Global Kedaton Tbk,LCKM,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, DBX, IDXINFRA, ISSI",114.15,1.88,1.65,1.57,0.05,252000000000,305687000,25.89,33.02,20.51,-0.70,722.21,19.49,2.92
513,Logindo Samudramakmur Tbk,LEAD,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, DBX, IDXENERGY",9.73,0.57,5.87,2.52,1.34,434971224600,492521913780,13.33,8.97,7.59,-28.57,9.07,10.39,-15.00
514,Imago Mulia Persada Tbk,LFLO,E211,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings,,54.14,13.37,24.69,11.26,1.19,1000417226805,73065604662,16.81,189.58,150.00,717.65,25.29,0.72,708.14
515,Asuransi Jiwa Sinarmas MSIG Tbk,LIFE,G413,Financials,Insurance,Insurance,Life Insurance,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",60.49,2.11,3.49,1.95,0.79,17850000000000,2182283000000,-6.53,-48.19,25.00,17.54,13.52,-5.69,8.62
516,Link Net Tbk,LINK,J311,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM",-6.96,2.47,-35.54,-9.36,2.80,9820760510120,2394743000000,49.50,50.50,167.06,240.91,-58.95,29.31,271.90
517,Lion Metal Works Tbk,LION,C223,Industrials,Industrial Services,Commercial Services,Office Supplies,"COMPOSITE, DBX, IDXINDUST, ISSI",-12.79,0.48,-3.77,-2.93,0.29,227830080000,243610333266,4.81,-36.35,11.79,44.37,-7.31,-0.46,9.00
518,PT Homeco Victoria Makmur Tbk,LIVE,E213,Consumer Cyclicals,Household Goods,Household Goods,Housewares & Specialties,"COMPOSITE, DBX, IDXCYCLIC, ISSI",54.77,2.59,4.74,3.00,0.58,881856962688,204969692641,15.38,-13.22,45.83,10.53,7.86,12.90,10.53
519,Limas Indonesia Makmur Tbk,LMAS,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, IDXTECHNO",,0.32,1.62,0.59,1.75,39392576250,31398251677,0.00,0.00,0.00,0.00,6.36,0.00,0.00
520,PT Lupromax Pelumas Indonesia Tbk.,LMAX,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,ABX,112.42,1.12,1.00,0.74,0.35,57200772200,32267828485,48.15,62.16,172.73,300.00,1.58,27.66,313.79
521,Langgeng Makmur Industri Tbk,LMPI,E213,Consumer Cyclicals,Household Goods,Household Goods,Housewares & Specialties,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-3.48,1.17,-33.59,-5.98,4.62,140183955991,365089063213,-6.67,-2.78,-7.89,-21.79,-11.04,-1.41,3.70
522,Lionmesh Prima Tbk,LMSH,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, IDXBASIC, ISSI",-4.87,0.26,-5.37,-4.39,0.22,24576000000,68547208796,0.00,0.00,0.00,-32.98,-7.37,0.00,-36.00
523,PT Logisticsplus International Tbk,LOPI,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,ABX,32.93,2.54,7.71,5.41,0.43,150701546593,53305432220,100.00,126.67,335.90,335.90,8.58,14.86,277.78
